date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:30:02	157361/157361	---M--	200	added ('OK')	image/jpeg	etag:%22266b1-6349e3bffee86%22	https://shreethemes.in/orderit/layouts/assets/images/dishes/guacamole.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/dishes/guacamole.jpg	(from https://shreethemes.in/orderit/layouts/index.html)
14:30:02	30452/30452	---M--	200	added ('OK')	image/png	etag:%2276f4-6349e3c000dc6%22	https://shreethemes.in/orderit/layouts/assets/images/playstore.png	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/playstore.png	(from https://shreethemes.in/orderit/layouts/index.html)
14:30:02	6900/6900	---M--	200	added ('OK')	image/png	etag:%221af4-6349e3bff42a5%22	https://shreethemes.in/orderit/layouts/assets/images/appstore.png	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/appstore.png	(from https://shreethemes.in/orderit/layouts/index.html)
14:30:03	80721/80721	---M-Z	200	added ('OK')	text/javascript	etag:%2213b51-6349e3c001d66-gzip%22	https://shreethemes.in/orderit/layouts/assets/libs/bootstrap/js/bootstrap.bundle.min.js	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/libs/bootstrap/js/bootstrap.bundle.min.js	(from https://shreethemes.in/orderit/layouts/index.html)
14:30:03	31966/31966	---M-Z	200	added ('OK')	text/javascript	etag:%227cde-6349e3c031b0a-gzip%22	https://shreethemes.in/orderit/layouts/assets/libs/tiny-slider/min/tiny-slider.js	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/libs/tiny-slider/min/tiny-slider.js	(from https://shreethemes.in/orderit/layouts/index.html)
14:30:03	14237/14237	---M-Z	200	added ('OK')	text/javascript	etag:%22379d-6349e3c000dc6-gzip%22	https://shreethemes.in/orderit/layouts/assets/js/plugins.init.js	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/js/plugins.init.js	(from https://shreethemes.in/orderit/layouts/index.html)
14:30:04	9163/9163	---M-Z	200	added ('OK')	text/javascript	etag:%2223cb-6349e3c000dc6-gzip%22	https://shreethemes.in/orderit/layouts/assets/js/app.js	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/js/app.js	(from https://shreethemes.in/orderit/layouts/index.html)
14:30:06	570148/570148	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228b324-6349e3c004c46%22	https://shreethemes.in/orderit/layouts/assets/libs/remixicon/fonts/remixicon.eot?t=1734404658139	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/libs/remixicon/fonts/remixicon9711.eot	(from https://shreethemes.in/orderit/layouts/assets/libs/remixicon/fonts/remixicon.css)
14:30:07	242720/242720	---M--	200	added ('OK')	font/woff	etag:%223b420-6349e3c019468%22	https://shreethemes.in/orderit/layouts/assets/libs/remixicon/fonts/remixicon.woff?t=1734404658139	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/libs/remixicon/fonts/remixicon9711.woff	(from https://shreethemes.in/orderit/layouts/assets/libs/remixicon/fonts/remixicon.css)
14:30:09	176812/176812	---M--	200	added ('OK')	font/woff2	etag:%222b2ac-6349e3c019468%22	https://shreethemes.in/orderit/layouts/assets/libs/remixicon/fonts/remixicon.woff2?t=1734404658139	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/libs/remixicon/fonts/remixicon9711.woff2	(from https://shreethemes.in/orderit/layouts/assets/libs/remixicon/fonts/remixicon.css)
14:30:10	325552/325552	---M--	200	added ('OK')	image/jpeg	etag:%224f7b0-6349e3bff42a5%22	https://shreethemes.in/orderit/layouts/assets/images/bg/bg.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/bg/bg.jpg	(from https://shreethemes.in/orderit/layouts/index-two.html)
14:30:13	146628/146628	---M--	200	added ('OK')	image/jpeg	etag:%2223cc4-6349e3bff61e5%22	https://shreethemes.in/orderit/layouts/assets/images/blog/1.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/blog/1.jpg	(from https://shreethemes.in/orderit/layouts/index-two.html)
14:30:14	569976/569976	---M--	200	added ('OK')	font/ttf	etag:%228b278-6349e3c0184c8%22	https://shreethemes.in/orderit/layouts/assets/libs/remixicon/fonts/remixicon.ttf?t=1734404658139	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/libs/remixicon/fonts/remixicon9711.ttf	(from https://shreethemes.in/orderit/layouts/assets/libs/remixicon/fonts/remixicon.css)
14:30:14	148972/148972	---M--	200	added ('OK')	image/jpeg	etag:%22245ec-6349e3bffb005%22	https://shreethemes.in/orderit/layouts/assets/images/blog/2.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/blog/2.jpg	(from https://shreethemes.in/orderit/layouts/index-two.html)
14:30:15	18454/18454	---M-Z	200	added ('OK')	text/css	etag:%224816-6349e3c02fbca-gzip%22	https://shreethemes.in/orderit/layouts/assets/libs/swiper/swiper-bundle.min.css	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/libs/swiper/swiper-bundle.min.css	(from https://shreethemes.in/orderit/layouts/index-three.html)
14:30:16	164927/164927	---M--	200	added ('OK')	image/jpeg	etag:%222843f-6349e3bfffe26%22	https://shreethemes.in/orderit/layouts/assets/images/dishes/tasty-baked-chicken-legs.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/dishes/tasty-baked-chicken-legs.jpg	(from https://shreethemes.in/orderit/layouts/index-two.html)
14:30:17	320639/320639	---M--	200	added ('OK')	image/jpeg	etag:%224e47f-6349e3bff61e5%22	https://shreethemes.in/orderit/layouts/assets/images/bg/pages.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/bg/pages.jpg	(from https://shreethemes.in/orderit/layouts/index-three.html)
14:30:17	154008/154008	---M-Z	200	added ('OK')	text/javascript	etag:%2225998-6349e3c030b6a-gzip%22	https://shreethemes.in/orderit/layouts/assets/libs/swiper/swiper-bundle.min.js	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/libs/swiper/swiper-bundle.min.js	(from https://shreethemes.in/orderit/layouts/index-three.html)
14:30:18	2734258/2734258	---M--	200	added ('OK')	image/svg+xml	etag:%2229b8b2-6349e3c0155e8%22	https://shreethemes.in/orderit/layouts/assets/libs/remixicon/fonts/remixicon.svg?t=1734404658139	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/libs/remixicon/fonts/remixicon9711.svg	(from https://shreethemes.in/orderit/layouts/assets/libs/remixicon/fonts/remixicon.css)
14:30:18	78957/78957	---M--	200	added ('OK')	image/jpeg	etag:%221346d-6349e3bffee86%22	https://shreethemes.in/orderit/layouts/assets/images/dishes/meatball-pasta.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/dishes/meatball-pasta.jpg	(from https://shreethemes.in/orderit/layouts/shop-menu.html)
14:30:18	561224/561224	---M--	200	added ('OK')	image/jpeg	etag:%2289048-6349e3bff42a5%22	https://shreethemes.in/orderit/layouts/assets/images/bg/bg2.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/bg/bg2.jpg	(from https://shreethemes.in/orderit/layouts/index-three.html)
14:30:18	277/277	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Jan%202026%2009:00:18%20GMT	https://shreethemes.in/orderit/layouts/menu.html	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/menu.html	(from https://shreethemes.in/orderit/layouts/shop-item-detail.html)
14:30:19	4190/4190	---M-Z	200	added ('OK')	text/css	etag:%22105e-6349e3c031b0a-gzip%22	https://shreethemes.in/orderit/layouts/assets/libs/tobii/css/tobii.min.css	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/libs/tobii/css/tobii.min.css	(from https://shreethemes.in/orderit/layouts/offers.html)
14:30:19	15614/15614	---M-Z	200	added ('OK')	text/javascript	etag:%223cfe-6349e3c031b0a-gzip%22	https://shreethemes.in/orderit/layouts/assets/libs/tobii/js/tobii.min.js	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/libs/tobii/js/tobii.min.js	(from https://shreethemes.in/orderit/layouts/offers.html)
14:30:20	148517/148517	---M--	200	added ('OK')	image/jpeg	etag:%2224425-6349e3bff61e5%22	https://shreethemes.in/orderit/layouts/assets/images/blog/11.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/blog/11.jpg	(from https://shreethemes.in/orderit/layouts/restaurants.html)
14:30:21	39605/39605	---M--	200	added ('OK')	image/jpeg	etag:%229ab5-6349e3c000dc6%22	https://shreethemes.in/orderit/layouts/assets/images/menu1.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/menu1.jpg	(from https://shreethemes.in/orderit/layouts/single-restaurant.html)
14:30:22	57693/57693	---M--	200	added ('OK')	image/jpeg	etag:%22e15d-6349e3c000dc6%22	https://shreethemes.in/orderit/layouts/assets/images/menu2.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/menu2.jpg	(from https://shreethemes.in/orderit/layouts/single-restaurant.html)
14:30:22	61602/61602	---M--	200	added ('OK')	image/jpeg	etag:%22f0a2-6349e3c000dc6%22	https://shreethemes.in/orderit/layouts/assets/images/menu3.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/menu3.jpg	(from https://shreethemes.in/orderit/layouts/single-restaurant.html)
14:30:22	58289/58289	---M--	200	added ('OK')	image/jpeg	etag:%22e3b1-6349e3c000dc6%22	https://shreethemes.in/orderit/layouts/assets/images/menu4.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/menu4.jpg	(from https://shreethemes.in/orderit/layouts/single-restaurant.html)
14:30:22	99560/99560	---M--	200	added ('OK')	image/jpeg	etag:%22184e8-6349e3bffbfa5%22	https://shreethemes.in/orderit/layouts/assets/images/blog/6.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/blog/6.jpg	(from https://shreethemes.in/orderit/layouts/blogs.html)
14:30:23	182750/182750	---M--	200	added ('OK')	image/jpeg	etag:%222c9de-6349e3bffbfa5%22	https://shreethemes.in/orderit/layouts/assets/images/blog/7.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/blog/7.jpg	(from https://shreethemes.in/orderit/layouts/blogs.html)
14:30:24	127160/127160	---M--	200	added ('OK')	image/jpeg	etag:%221f0b8-6349e3bffcf46%22	https://shreethemes.in/orderit/layouts/assets/images/blog/9.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/blog/9.jpg	(from https://shreethemes.in/orderit/layouts/blogs.html)
14:30:24	267994/267994	---M--	200	added ('OK')	image/jpeg	etag:%22416da-6349e3bffcf46%22	https://shreethemes.in/orderit/layouts/assets/images/blog/8.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/blog/8.jpg	(from https://shreethemes.in/orderit/layouts/blogs.html)
14:30:24	417208/417208	---M--	200	added ('OK')	image/jpeg	etag:%2265db8-6349e3bff61e5%22	https://shreethemes.in/orderit/layouts/assets/images/blog/10.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/blog/10.jpg	(from https://shreethemes.in/orderit/layouts/blogs.html)
14:30:25	17868/17868	---M--	200	added ('OK')	image/jpeg	etag:%2245cc-6349e3bffcf46%22	https://shreethemes.in/orderit/layouts/assets/images/client/3.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/client/3.jpg	(from https://shreethemes.in/orderit/layouts/blog-detail.html)
14:30:25	53221/53221	---M--	200	added ('OK')	image/jpeg	etag:%22cfe5-6349e3bffcf46%22	https://shreethemes.in/orderit/layouts/assets/images/client/2.jpg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/client/2.jpg	(from https://shreethemes.in/orderit/layouts/blog-detail.html)
14:30:26	51903/51903	---M--	200	added ('OK')	image/svg+xml	etag:%22cabf-6349e3c000dc6%22	https://shreethemes.in/orderit/layouts/assets/images/svg/falling.svg	C:/Users/hp/Desktop/foodstore/Food%20Store/shreethemes.in/orderit/layouts/assets/images/svg/falling.svg	(from https://shreethemes.in/orderit/layouts/error.html)
